temperature,wind,precipitation
72.9,7.3,0
74.9,7,0
71.6,7.8,0
72,8.1,0
70.2,10.5,0
69.5,6.5,0
74.9,5.3,0
74.9,7.4,0
73.8,5.5,0
74,6,0
71.2,8,0
65.3,8.8,0
66.7,8.6,0
65.9,4.8,0
64.8,12.3,0
63.8,5,0
65.2,7.7,0
65.4,6.1,0
68,4.8,0
69.9,4.7,0
71.5,4.5,0
71.6,7.9,0
70.8,5.5,0
69.4,4.3,0
71,3.3,0
71.6,2.7,0
72.6,4.1,0
65.4,11.8,0
65,8.9,0
69.3,5.3,0
69.5,5.3,0
70.1,7.8,0
68.7,8.8,0
65,9.4,1.7
64.6,3.8,0
67.5,11.6,0
66.2,16.6,0
68.9,8,0
65.6,7.3,0
61.8,4.8,0
61.5,4.8,0
65,8.7,0
64.3,3.8,0
63.2,12.1,0
63.5,11.4,0
62.2,3.3,0
60.8,2.5,0
63.7,2.8,0
62,2.3,0
62.4,3.8,0
63,3.8,0
58.7,4.7,0
58.3,6,0
59.1,2.2,0
63.9,3.4,0
63.9,2,0
65.3,4.3,0
64.8,7.6,0
59,10.2,0
63.1,16.8,0
60.1,4.4,0
64.1,3.9,0
61.2,3.4,0
67,8.7,0
61.9,3.2,0
62.1,8.8,0
56.7,5.3,0
55,6.3,0
59.5,20,0
47.7,2.4,0
44.8,3.3,0
52.2,7.9,0
47.8,2,0
47.2,3.2,0
43.3,2.7,0
43,3,0
45,1.4,0
45.4,1.6,0
43.6,2.3,0
46,2.6,0
46.3,2.9,0
51.4,8.4,0
56.6,13.8,1.19
55.1,16.2,0.09
58.6,7.4,0.2
51.6,2.6,0
49.9,2.4,0
52.8,7.2,0
57.1,10.9,0.14
53.6,15.2,1.02
49.3,2.4,0.52
