temperature,wind,precipitation
48.8,2.8,0
51,3.1,0
51.9,3.9,0
56.3,5.5,0.62
56.9,5.8,0.02
51.3,2.1,0.33
47.1,3.3,0
54,5.3,0.11
55.7,7.8,2.78
52.1,4.8,0
54.3,3.6,0
51.3,2.7,0
50.2,5.3,0
50.1,5.8,0
52.6,4,0
56.3,3.3,0
53.6,3.9,0
52.9,8.2,0
50.1,7.2,0.1
47.1,4.5,0
47.9,5.6,0
51.4,11,0.1
49.1,5.2,0.24
49.3,10.3,0
49.5,7.8,0.24
47.3,4.7,0.05
48.9,4.2,0
55.8,8,0
52.2,3.7,0
52.9,4,0
52.5,3.5,0
56.2,3,0
56.7,3.7,0
61,5.7,0
58.6,4.2,0
56.3,3.1,0
58.3,4,0
59.6,4.8,0
57.4,3.2,0
57,3.4,0
57.5,8,0
50.5,12.4,0
50,8,0
52.1,6.1,0
49.1,8.5,0
50.3,5.6,0
49.5,3.9,0
51.7,6.7,0
50.8,18.4,0
45.8,12.1,0
43.6,6.9,0
47,7.9,0
48,17.8,0
45.3,9.5,0
45.6,9.6,0
47.2,7.2,0
48.6,12.6,0
47.8,8.1,0.2
46.7,9.1,0
